Date,Open,Close,Change,
03-Mar-2025,3915.44,3917.741,0.058792897,
28-Feb-2025,3913.54,3915.439,0.048600537,
27-Feb-2025,3908.73,3913.537,0.122904276,
26-Feb-2025,3910.01,3908.733,-0.032736464,
25-Feb-2025,3920.37,3910.013,-0.264057046,
24-Feb-2025,3883.52,3920.365,0.948726684,
21-Feb-2025,3861.06,3883.521,0.581653291,
20-Feb-2025,3826.77,3861.063,0.896028874,
19-Feb-2025,3820.56,3826.774,0.162777398,
18-Feb-2025,3826.07,3820.555,-0.144194882,
17-Feb-2025,3787.97,3826.072,1.005975238,
14-Feb-2025,3795.63,3787.966,-0.202021586,
13-Feb-2025,3804.63,3795.634,-0.236501191,
12-Feb-2025,3775.04,3804.632,0.783885734,
11-Feb-2025,3790.10,3775.040,-0.397377273,
07-Feb-2025,3800.02,3790.101,-0.261077436,
06-Feb-2025,3806.20,3800.022,-0.162209198,
05-Feb-2025,3785.95,3806.196,0.534872922,
04-Feb-2025,3779.82,3785.946,0.162203706,
03-Feb-2025,3759.19,3779.815,0.548735671,
31-Jan-2025,3729.51,3759.187,0.79573456,
30-Jan-2025,3729.03,3729.510,0.0128988,
29-Jan-2025,3740.03,3729.029,-0.294142026,
28-Jan-2025,3728.58,3740.030,0.307195026,
27-Jan-2025,3735.00,3728.576,-0.172048101,
24-Jan-2025,3708.90,3735.002,0.703848071,
23-Jan-2025,3736.48,3708.897,-0.738075325,
22-Jan-2025,3748.62,3736.475,-0.324039074,
21-Jan-2025,3752.43,3748.622,-0.101534152,
20-Jan-2025,3763.46,3752.432,-0.29292225,
17-Jan-2025,3725.13,3763.456,1.028768637,
16-Jan-2025,3715.69,3725.133,0.25411155,
15-Jan-2025,3732.06,3715.691,-0.438711662,
14-Jan-2025,3731.55,3732.064,0.01369403,
13-Jan-2025,3736.89,3731.553,-0.142712408,
10-Jan-2025,3761.78,3736.886,-0.661681966,
09-Jan-2025,3765.06,3761.777,-0.087090338,
08-Jan-2025,3754.62,3765.056,0.278084437,
07-Jan-2025,3707.01,3754.615,1.284079316,
06-Jan-2025,3757.95,3707.014,-1.355446093,
03-Jan-2025,3766.70,3757.951,-0.232351741,
30-Dec-2024,3754.12,3766.703,0.335098237,
27-Dec-2024,3767.15,3754.123,-0.345805184,
23-Dec-2024,3748.97,3767.150,0.485040408,
20-Dec-2024,3708.53,3748.966,1.090323905,
19-Dec-2024,3781.55,3708.531,-1.930953728,
18-Dec-2024,3774.90,3781.551,0.17626971,
17-Dec-2024,3765.16,3774.897,0.258527984,
16-Dec-2024,3748.27,3765.163,0.450768315,
12-Dec-2024,3744.45,3748.267,0.101910801,
11-Dec-2024,3749.30,3744.451,-0.12941072,
10-Dec-2024,3735.61,3749.303,0.366633856,
09-Dec-2024,3752.73,3735.607,-0.456360738,
06-Dec-2024,3782.82,3752.733,-0.795411468,
05-Dec-2024,3785.86,3782.822,-0.080245968,
04-Dec-2024,3788.52,3785.860,-0.070238491,
03-Dec-2024,3780.73,3788.521,0.20604481,
02-Dec-2024,3789.18,3780.731,-0.222845342,
29-Nov-2024,3762.48,3789.175,0.7096125,
28-Nov-2024,3785.77,3762.476,-0.615304152,
27-Nov-2024,3780.54,3785.770,0.138313538,
26-Nov-2024,3781.83,3780.541,-0.033978295,
25-Nov-2024,3793.06,3781.826,-0.296277627,
22-Nov-2024,3786.72,3793.064,0.167665113,
21-Nov-2024,3789.20,3786.715,-0.065581125,
20-Nov-2024,3794.86,3789.200,-0.1491228,
19-Nov-2024,3794.21,3794.859,0.01713137,
18-Nov-2024,3808.49,3794.209,-0.37497801,
15-Nov-2024,3797.67,3808.490,0.284911538,
