date,Open,Close,Change,majority_sentiment,average_sentiment
2025-02-28,3913.54,3915.439,0.048600537,2,0.8906441926956177
2025-02-27,3908.73,3913.537,0.122904276,2,0.9542003273963928
2025-02-26,3910.01,3908.733,-0.032736464,0,0.8127884765466055
2025-02-25,3920.37,3910.013,-0.264057046,2,0.8357415795326233
2025-02-24,3883.52,3920.365,0.948726684,2,0.8090471506118775
2025-02-21,3861.06,3883.521,0.581653291,0,0.9232120513916016
2025-02-20,3826.77,3861.063,0.896028874,2,0.8174703121185303
2025-02-19,3820.56,3826.774,0.162777398,2,0.8393096923828125
2025-02-13,3804.63,3795.634,-0.236501191,2,0.8680005073547363
2025-02-12,3775.04,3804.632,0.783885734,2,0.716494083404541
2025-02-05,3785.95,3806.196,0.534872922,2,0.9508094787597656
2025-02-04,3779.82,3785.946,0.162203706,2,0.7546954229474068
2025-01-31,3729.51,3759.187,0.79573456,0,0.8160510063171387
2025-01-29,3740.03,3729.029,-0.294142026,2,0.792905350526174
2025-01-28,3728.58,3740.03,0.307195026,2,0.7929632663726807
2025-01-27,3735.0,3728.576,-0.172048101,0,0.722502127289772
2025-01-24,3708.9,3735.002,0.703848071,2,0.6996645927429199
2025-01-23,3736.48,3708.897,-0.738075325,2,0.7534772157669067
2025-01-22,3748.62,3736.475,-0.324039074,2,0.7203983962535858
2025-01-17,3725.13,3763.456,1.028768637,2,0.8386443555355072
2025-01-16,3715.69,3725.133,0.25411155,2,0.7335787415504456
2025-01-14,3731.55,3732.064,0.01369403,2,0.8346296946207682
2025-01-13,3736.89,3731.553,-0.142712408,0,0.9080093502998352
2025-01-10,3761.78,3736.886,-0.661681966,0,0.8405011892318726
2025-01-09,3765.06,3761.777,-0.087090338,2,0.7660101652145386
2025-01-08,3754.62,3765.056,0.278084437,2,0.8695099592208863
2025-01-07,3707.01,3754.615,1.284079316,2,0.945452094078064
2025-01-06,3757.95,3707.014,-1.355446093,0,0.6884423494338989
2024-12-23,3748.97,3767.15,0.485040408,2,0.8275298625230789
2024-12-19,3781.55,3708.531,-1.930953728,2,0.8156761725743612
2024-12-17,3765.16,3774.897,0.258527984,1,0.8519933223724365
2024-12-16,3748.27,3765.163,0.450768315,2,0.8938916325569153
2024-12-12,3744.45,3748.267,0.101910801,0,0.7090217173099518
2024-12-11,3749.3,3744.451,-0.12941072,2,0.6960166096687317
2024-12-10,3735.61,3749.303,0.366633856,2,0.8963144421577454
2024-12-03,3780.73,3788.521,0.20604481,0,0.8325098951657613
2024-11-29,3762.48,3789.175,0.7096125,2,0.8759527802467346
2024-11-28,3785.77,3762.476,-0.615304152,2,0.7293954789638519
2024-11-27,3780.54,3785.77,0.138313538,0,0.6694850325584412
2024-11-26,3781.83,3780.541,-0.033978295,0,0.8634859025478363
2024-11-21,3789.2,3786.715,-0.065581125,0,0.7478485107421875
2024-11-20,3794.86,3789.2,-0.1491228,2,0.7744985733713422
2024-11-19,3794.21,3794.859,0.01713137,2,0.739802211523056
2024-11-18,3808.49,3794.209,-0.37497801,2,0.8251459995905558
2024-11-15,3797.67,3808.49,0.284911538,0,0.609470784664154
2024-11-12,3826.27,3826.723,0.011760792,2,0.8877571026484171
2024-11-07,3852.66,3851.052,-0.041711452,0,0.6883753538131714
2024-11-06,3860.64,3852.659,-0.20677908,2,0.835047847032547
2024-10-31,3827.14,3845.538,0.48072451,0,0.7769705653190613
2024-10-25,3828.07,3825.353,-0.070871296,2,0.9075408577919006
2024-10-24,3825.05,3828.066,0.078822478,2,0.9245970845222472
2024-10-23,3812.44,3825.051,0.330785534,2,0.8116097331047059
2024-10-21,3778.1,3770.871,-0.191286727,2,0.8359081745147705
2024-10-18,3799.23,3778.098,-0.556191796,0,0.6958555181821188
2024-10-17,3796.47,3799.229,0.072620054,0,0.9050476849079132
2024-10-16,3815.8,3796.472,-0.506473351,2,0.8918278515338898
2024-10-15,3780.75,3815.798,0.927065226,2,0.7779010534286499
2024-10-10,3772.07,3780.822,0.231914856,2,0.8718924522399902
2024-10-08,3777.02,3766.106,-0.28903716,2,0.8671983281771342
2024-10-03,3776.67,3766.62,-0.266107444,0,0.5612791776657104
2024-10-02,3768.47,3776.67,0.217568345,0,0.6266326904296875
2024-10-01,3790.43,3768.471,-0.579222494,2,0.8243693828582763
2024-09-27,3765.17,3770.204,0.133699142,2,0.7244740724563599
2024-09-26,3762.9,3765.17,0.060325813,2,0.8476622956139701
2024-09-25,3789.84,3762.9,-0.71087415,0,0.7152275045712789
2024-09-23,3787.4,3799.812,0.327824183,2,0.9058517813682556
2024-09-20,3795.29,3787.396,-0.207968352,2,0.8106692433357239
2024-09-19,3795.78,3795.289,-0.012803709,2,0.9467015862464904
2024-09-17,3796.31,3793.054,-0.08587277,2,0.9416340589523317
2024-09-16,3795.36,3796.314,0.02516231,0,0.9276061356067656
2024-09-12,3739.3,3796.151,1.520310475,2,0.859385073184967
2024-09-11,3789.85,3739.302,-1.333799139,2,0.8338138461112976
2024-09-09,3785.38,3799.561,0.374519468,2,0.7974421977996826
2024-09-06,3768.97,3785.384,0.435610191,2,0.5084906220436096
2024-09-05,3760.75,3768.966,0.218573655,0,0.7986027896404266
2024-09-03,3862.54,3850.654,-0.307699159,2,0.8548027575016022
2024-08-30,3818.16,3835.631,0.457655356,0,0.662156730890274
2024-08-29,3860.73,3818.157,-1.102718916,0,0.9237307906150818
2024-08-28,3877.69,3860.73,-0.437245418,1,0.8697102069854736
2024-08-26,3862.63,3859.02,-0.093407908,2,0.8117011785507202
2024-08-22,3858.61,3835.48,-0.599335615,2,0.7492195963859558
2024-08-21,3876.76,3858.606,-0.46838033,0,0.684239000082016
2024-08-20,3867.31,3876.764,0.244355643,0,0.7755519032478333
2024-08-09,3829.51,3848.317,0.491002253,2,0.7597856521606445
2024-08-06,3815.18,3809.298,-0.15414742,0,0.7331897020339966
2024-08-05,3837.36,3815.179,-0.578001693,2,0.8362202048301697
2024-08-01,3767.33,3808.009,1.079702803,2,0.8129149675369263
2024-07-31,3763.84,3767.333,0.092777564,0,0.9217211604118348
2024-07-26,3722.53,3722.46,-0.001907304,2,0.9257217049598694
2024-07-25,3707.76,3722.531,0.398353616,2,0.8786885738372803
2024-07-24,3720.09,3707.761,-0.331389921,0,0.8887094557285309
2024-07-19,3700.69,3688.311,-0.334585982,2,0.7337329983711243
2024-07-18,3694.2,3700.693,0.175843356,2,0.7807972729206085
2024-07-17,3693.05,3694.197,0.030949994,2,0.6064392030239105
2024-07-16,3683.69,3693.054,0.254201629,2,0.9119760990142822
2024-07-12,3715.43,3706.116,-0.250791698,2,0.7728551924228668
2024-07-11,3704.38,3715.434,0.298322285,0,0.8842087984085083
2024-07-10,3700.27,3704.383,0.111072886,2,0.8233648339907328
2024-07-09,3706.38,3700.273,-0.164823809,0,0.6617772579193115
2024-07-08,3727.42,3706.382,-0.564465199,0,0.8028439283370972
2024-07-02,3751.44,3740.369,-0.295219654,0,0.7090617616971334
2024-06-27,3724.71,3717.904,-0.182591641,2,0.6508437693119049
2024-06-26,3717.4,3724.705,0.196643079,2,0.8435437281926473
2024-06-25,3722.41,3717.395,-0.134617234,2,0.9057708233594894
2024-06-24,3734.95,3722.406,-0.335907931,0,0.8629561364650726
2024-06-21,3745.06,3734.952,-0.269822328,2,0.7877787947654724
2024-06-20,3728.15,3745.057,0.453414868,0,0.8743488788604736
2024-06-17,3707.33,3742.015,0.935578975,2,0.9089909791946412
2024-06-14,3718.66,3707.33,-0.304572405,0,0.8627513945102692
2024-06-13,3727.14,3718.656,-0.227681156,1,0.8150676041841507
2024-06-12,3713.17,3727.142,0.37639039,0,0.5001638531684875
2024-06-11,3716.89,3713.166,-0.100218166,2,0.742270827293396
2024-06-10,3702.53,3716.891,0.387788576,2,0.707673579454422
2024-06-06,3701.03,3702.533,0.040691408,0,0.76075679063797
2024-06-05,3709.0,3701.027,-0.214990506,0,0.8760060667991638
2024-06-04,3705.98,3709.001,0.081462889,2,0.7751337885856628
2024-06-03,3712.3,3705.982,-0.170137203,2,0.9335970878601074
2024-05-31,3694.59,3712.298,0.479186617,0,0.7113829851150513
2024-05-30,3695.51,3694.594,-0.02465157,2,0.9179411828517914
2024-05-29,3692.9,3695.505,0.070432375,2,0.8875880837440491
2024-05-28,3698.78,3692.904,-0.158728228,0,0.7870182394981384
2024-05-24,3719.4,3693.886,-0.685944154,2,0.8157927513122558
2024-05-22,3757.33,3752.076,-0.139833339,2,0.5858075320720673
2024-05-21,3738.14,3757.33,0.51335691,2,0.7674936354160309
2024-05-20,3758.75,3738.14,-0.548373503,2,0.8088731567064921
2024-05-16,3745.67,3743.685,-0.052967841,0,0.747036337852478
2024-05-14,3765.25,3755.105,-0.269490595,2,0.9387612342834472
2024-05-13,3799.52,3765.252,-0.901981643,2,0.5391591787338257
2024-05-10,3744.17,3799.523,1.478297077,2,0.7709307074546814
2024-05-09,3724.81,3744.173,0.519973529,0,0.8412855466206869
2024-05-07,3785.35,3794.726,0.247665276,2,0.883362332979838
2024-05-03,3778.15,3796.346,0.481611371,2,0.7082951664924622
