date,Open,Close,Change
2025-03-03,3915.44,3917.741,0.058792897
2025-02-28,3913.54,3915.439,0.048600537
2025-02-27,3908.73,3913.537,0.122904276
2025-02-26,3910.01,3908.733,-0.032736464
2025-02-25,3920.37,3910.013,-0.264057046
2025-02-24,3883.52,3920.365,0.948726684
2025-02-21,3861.06,3883.521,0.581653291
2025-02-20,3826.77,3861.063,0.896028874
2025-02-19,3820.56,3826.774,0.162777398
2025-02-18,3826.07,3820.555,-0.144194882
2025-02-17,3787.97,3826.072,1.005975238
2025-02-14,3795.63,3787.966,-0.202021586
2025-02-13,3804.63,3795.634,-0.236501191
2025-02-12,3775.04,3804.632,0.783885734
2025-02-11,3790.1,3775.04,-0.397377273
2025-02-07,3800.02,3790.101,-0.261077436
2025-02-06,3806.2,3800.022,-0.162209198
2025-02-05,3785.95,3806.196,0.534872922
2025-02-04,3779.82,3785.946,0.162203706
2025-02-03,3759.19,3779.815,0.548735671
2025-01-31,3729.51,3759.187,0.79573456
2025-01-30,3729.03,3729.51,0.0128988
2025-01-29,3740.03,3729.029,-0.294142026
2025-01-28,3728.58,3740.03,0.307195026
2025-01-27,3735.0,3728.576,-0.172048101
2025-01-24,3708.9,3735.002,0.703848071
2025-01-23,3736.48,3708.897,-0.738075325
2025-01-22,3748.62,3736.475,-0.324039074
2025-01-21,3752.43,3748.622,-0.101534152
2025-01-20,3763.46,3752.432,-0.29292225
2025-01-17,3725.13,3763.456,1.028768637
2025-01-16,3715.69,3725.133,0.25411155
2025-01-15,3732.06,3715.691,-0.438711662
2025-01-14,3731.55,3732.064,0.01369403
2025-01-13,3736.89,3731.553,-0.142712408
2025-01-10,3761.78,3736.886,-0.661681966
2025-01-09,3765.06,3761.777,-0.087090338
2025-01-08,3754.62,3765.056,0.278084437
2025-01-07,3707.01,3754.615,1.284079316
2025-01-06,3757.95,3707.014,-1.355446093
2025-01-03,3766.7,3757.951,-0.232351741
2024-12-30,3754.12,3766.703,0.335098237
2024-12-27,3767.15,3754.123,-0.345805184
2024-12-23,3748.97,3767.15,0.485040408
2024-12-20,3708.53,3748.966,1.090323905
2024-12-19,3781.55,3708.531,-1.930953728
2024-12-18,3774.9,3781.551,0.17626971
2024-12-17,3765.16,3774.897,0.258527984
2024-12-16,3748.27,3765.163,0.450768315
2024-12-12,3744.45,3748.267,0.101910801
2024-12-11,3749.3,3744.451,-0.12941072
2024-12-10,3735.61,3749.303,0.366633856
2024-12-09,3752.73,3735.607,-0.456360738
2024-12-06,3782.82,3752.733,-0.795411468
2024-12-05,3785.86,3782.822,-0.080245968
2024-12-04,3788.52,3785.86,-0.070238491
2024-12-03,3780.73,3788.521,0.20604481
2024-12-02,3789.18,3780.731,-0.222845342
2024-11-29,3762.48,3789.175,0.7096125
2024-11-28,3785.77,3762.476,-0.615304152
2024-11-27,3780.54,3785.77,0.138313538
